id,year,locationName,latitude_eq,longitude_eq,damageAmountOrder,publish,country,regionCode_eq,intensity,deathsAmountOrder,tsunamiEventId,deathsAmountOrderTotal,eqDepth,deaths,housesDestroyedAmountOrder,deathsTotal,damageAmountOrderTotal,housesDestroyedAmountOrderTotal,month,day,volcanoEventId,housesDamagedAmountOrder,injuries,injuriesAmountOrder,injuriesTotal,injuriesAmountOrderTotal,hour,housesDamagedAmountOrderTotal,minute,housesDestroyed,housesDamaged,housesDestroyedTotal,housesDamagedTotal,area,second,damageMillionsDollars,missing,missingAmountOrder,missingTotal,missingAmountOrderTotal,damageMillionsDollarsTotal,magnitude_Mw,MagnitudeSource,earthquakeEventId,oceanicTsunami,maxWaterHeight,regionCode_ts,latitude_ts,longitude_ts,same_region
4120,1957,SAMOA ISLANDS,-15.5,-173.0,,True,SAMOA,170,,,,,60.0,,,,,,4.0,14.0,,,,,,,19.0,,18.0,,,,,,0.0,,,,,,,7.5,None,,0,,,,,False
4121,1957,INDONESIA:  JAVA SEA,-4.6,107.1,,True,INDONESIA,60,,,,,600.0,,,,,,4.0,16.0,,,,,,,4.0,,4.0,,,,,,4.0,,,,,,,7.095000000000001,Ms→Mw,,0,,,,,False
4123,1957,TURKEY,36.31,28.62,2.0,True,TURKEY,140,,,,,40.0,,,,2.0,,4.0,24.0,,,,,,,19.0,,10.0,,,,,,12.0,,,,,,,6.9,None,,0,,,,,False
4125,1957,"TURKEY:  FETHIYE (LYCIA, ASIA MINOR)",36.405,28.699,4.0,True,TURKEY,140,10.0,1.0,,1.0,35.0,18.0,4.0,18.0,4.0,4.0,4.0,25.0,,4.0,92.0,1.0,92.0,1.0,2.0,4.0,25.0,3000.0,5000.0,3000.0,5000.0,,41.2,,,,,,,7.3,Mw,,0,,,,,False
4130,1957,TURKEY:  ABANT,40.73,31.09,3.0,True,TURKEY,140,9.0,2.0,,2.0,25.0,52.0,,52.0,3.0,,5.0,26.0,,4.0,,3.0,,3.0,6.0,4.0,33.0,,,,,,38.0,,,,,,,7.1,Mw,,0,,,,,False
4132,1957,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-1.5,137.0,3.0,True,INDONESIA,170,,,1869.0,,33.0,,,,3.0,,6.0,22.0,,,,,,,23.0,,50.0,,,,,,23.0,,,,,,,6.961,Ms→Mw,4132.0,1,1.8,83.0,-1.5,137.0,False
4134,1957,RUSSIA:  CHITA,56.2,116.4,2.0,True,RUSSIA,40,10.0,,,,15.0,,,,2.0,,6.0,27.0,,,,,,,0.0,,9.0,,,,,,28.0,,,,,,,7.161999999999999,Ms→Mw,,0,,,,,False
4137,1957,"IRAN:  HAZANDERAN, ABEGARM",36.277,52.778,3.0,True,IRAN,140,9.0,4.0,,4.0,15.0,1100.0,,1100.0,3.0,,7.0,2.0,,,,3.0,,3.0,0.0,,42.0,,,,,,26.4,,,,,,,6.6,Mw,,0,,,,,False
4139,1957,"MEXICO:  ACAPULCO,MEXICO CITY",16.5,-99.1,4.0,True,MEXICO,150,7.0,2.0,1870.0,2.0,25.0,65.0,3.0,65.0,4.0,3.0,7.0,28.0,,,,3.0,,3.0,8.0,,40.0,,,,,,1.0,25.0,,,,,25.0,7.3629999999999995,Ms→Mw,4139.0,1,1.3,88.0,16.5,-99.1,False
4143,1957,PHILIPPINES,5.5,127.5,,True,PHILIPPINES,170,,,,,60.0,,,,,,9.0,24.0,,,,,,,8.0,,21.0,,,,,,0.0,,,,,,,7.6,None,,0,,,,,False
4144,1957,FIJI ISLANDS,-20.4,-178.5,,True,FIJI,170,,,,,549.0,,,,,,9.0,28.0,,,,,,,14.0,,20.0,,,,,,0.0,,,,,,,7.5,None,,0,,,,,False
4147,1957,BOLIVIA:  S,-21.0,-66.0,1.0,True,BOLIVIA,160,,,,,170.0,,,,,,11.0,29.0,,,,,,,22.0,,19.0,,,,,,0.0,,,,,,,7.8,None,,0,,,,,False
4149,1957,MONGOLIA,45.5,99.5,2.0,True,MONGOLIA,40,11.0,1.0,,1.0,33.0,30.0,,30.0,2.0,,12.0,4.0,,,,,,,3.0,,37.0,,,,,,45.0,,,,,,,8.1,Mw,,0,,,,,False
4150,1957,IRAN:  FARSINAJ,34.388,47.748,3.0,True,IRAN,140,8.0,4.0,,4.0,15.0,1200.0,,1200.0,3.0,,12.0,13.0,,,,3.0,,3.0,1.0,,45.0,,,,,,4.8,,,,,,,6.5,Mw,,0,,,,,False
4154,1957,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-12.3,166.7,,True,SOLOMON ISLANDS,170,,,,,120.0,,,,,,12.0,17.0,,,,,,,13.0,,50.0,,,,,,0.0,,,,,,,7.8,None,,0,,,,,False
4157,1958,PERU: AREQUIPA,-16.25,-72.242,3.0,True,PERU,160,9.0,1.0,,1.0,64.0,28.0,2.0,28.0,3.0,2.0,1.0,15.0,,3.0,133.0,3.0,133.0,3.0,19.0,3.0,14.0,,,,,,31.3,,,,,,,7.0,Mw,,0,,,,,False
4160,1958,COLOMBIA-ECUADOR,1.5,-79.5,2.0,True,COLOMBIA,160,9.0,3.0,1877.0,3.0,60.0,111.0,2.0,115.0,2.0,2.0,1.0,19.0,,,46.0,1.0,46.0,1.0,14.0,,7.0,,,,,,27.0,,,,,,,7.6,Mw,4160.0,1,,89.0,1.5,-79.5,False
4165,1958,JAPAN:  RYUKYU ISLANDS,25.0,125.0,,True,JAPAN,30,,2.0,,2.0,70.0,,,,,,3.0,11.0,,,,3.0,,3.0,0.0,,22.0,,,,,,56.0,,,,,,,7.095000000000001,Ms→Mw,,0,,,,,False
4167,1958,ALASKA:  LITUYA BAY,58.37,-136.665,1.0,True,USA,150,11.0,,1880.0,1.0,35.0,,1.0,5.0,1.0,1.0,7.0,10.0,,,,,,,6.0,,15.0,,,,,AK,59.9,,,,,,0.1,7.8,Mw,4167.0,1,524.6,87.0,58.37,-136.665,False
4170,1958,PERU:  S,-13.5,-69.0,1.0,True,PERU,160,,,,,620.0,,,,,,7.0,26.0,,,,,,,17.0,,38.0,,,,,,0.0,,,,,,,7.5,None,,0,,,,,False
4172,1958,IRAN:  FIRUZABAD,34.29,47.867,3.0,True,IRAN,140,7.0,3.0,,3.0,15.0,132.0,4.0,132.0,3.0,4.0,8.0,16.0,,,948.0,3.0,948.0,3.0,19.0,,13.0,2500.0,,2500.0,,,48.3,,,,,,,6.7,Mw,,0,,,,,False
4178,1958,INDONESIA:  JAVA:  MALANG,-9.5,112.5,2.0,True,INDONESIA,60,8.0,1.0,,1.0,100.0,8.0,2.0,8.0,2.0,2.0,10.0,20.0,,3.0,1856.0,4.0,1856.0,4.0,1.0,3.0,12.0,95.0,206.0,95.0,206.0,,37.0,,,,,,,6.559000000000001,Ms→Mw,,0,,,,,False
4179,1958,RUSSIA:  KURIL ISLANDS,44.53,148.54,2.0,True,RUSSIA,50,10.0,,1884.0,,40.0,,,,,,11.0,6.0,,,,,,,22.0,,58.0,,,,,,8.6,,,,,,,8.3,Mw,4179.0,1,5.0,86.0,44.53,148.54,False
4188,1959,TAIWAN:  TAIPEI,24.78,122.7,1.0,True,TAIWAN,30,,1.0,,1.0,150.0,2.0,,2.0,1.0,,4.0,26.0,,,,,,,20.0,,40.0,,,,,,38.0,,,,,,,7.095000000000001,Ms→Mw,,0,,,,,False
4192,1959,RUSSIA:  NEAR EAST COAST OF KAMCHATKA,52.5,159.5,2.0,True,RUSSIA,50,10.0,1.0,1890.0,1.0,60.0,1.0,2.0,1.0,2.0,2.0,5.0,4.0,,,13.0,1.0,13.0,1.0,7.0,,15.0,,,,,,42.0,,,,,,,8.2,Mw,4192.0,1,0.2,86.0,52.5,159.5,False
4194,1959,MEXICO:  OAXACA;,17.0,-96.3,3.0,True,MEXICO,150,,,,,100.0,,,,,,5.0,24.0,,,,,,,19.0,,17.0,,,,,,0.0,,,,,,,6.8,None,,0,,,,,False
4195,1959,BOLIVIA-NORTHERN CHILE,-20.369,-68.0,1.0,True,BOLIVIA,160,,1.0,,1.0,112.0,1.0,,1.0,1.0,,6.0,14.0,,,,,,,0.0,,12.0,,,,,,6.5,,,,,,,7.095000000000001,Ms→Mw,,0,,,,,False
4196,1959,RUSSIA:  NEAR KAMCHATKA,53.9,160.5,,True,RUSSIA,50,10.0,,,,15.0,,,,,,6.0,18.0,,,,,,,15.0,,31.0,,,,,,0.0,,,,,,,7.0,None,,0,,,,,False
4197,1959,TAIWAN,22.18,121.13,3.0,True,TAIWAN,30,,1.0,,1.0,60.0,16.0,3.0,16.0,3.0,3.0,8.0,15.0,,,63.0,2.0,63.0,2.0,8.0,,57.0,,,,,,3.0,,,,,,,6.76,Ms→Mw,,0,,,,,False
4198,1959,SOLOMON ISLANDS,-7.5,156.0,3.0,True,SOLOMON ISLANDS,170,,,1892.0,,33.0,,,,3.0,,8.0,17.0,,,,,,,21.0,1.0,4.0,,,,,,40.0,,,,,,,6.961,Ms→Mw,4198.0,1,1.0,82.0,-7.5,156.0,False
4199,1959,MONTANA:  HEBGEN LAKE,44.63,-110.891,3.0,True,USA,150,10.0,1.0,2371.0,1.0,10.0,28.0,,28.0,3.0,,8.0,18.0,,2.0,,,,,6.0,2.0,37.0,,,,,MT,20.4,11.0,,,,,11.0,7.2,Mw,4199.0,0,1.0,88.0,44.63,-110.891,False
4203,1959,ALBANIA,40.9,19.8,3.0,True,ALBANIA,130,10.0,1.0,,,11.0,2.0,,,,,9.0,1.0,,,,,,,11.0,,37.0,,,,,,0.0,,,,,,,6.1,None,,0,,,,,False
4205,1959,KERMADEC ISLANDS,-28.5,-177.0,,True,KERMADEC ISLANDS (NEW ZEALAND),170,,,,,60.0,,,,,,9.0,14.0,,,,,,,14.0,,9.0,,,,,,0.0,,,,,,,7.7,None,,0,,,,,False
4211,1960,"PERU:  AREQUIPA,CHUQUIBAMBA,CARAVELI,COTAHUASI",-15.75,-72.75,3.0,True,PERU,160,10.0,2.0,1896.0,2.0,160.0,63.0,3.0,63.0,3.0,3.0,1.0,13.0,,,200.0,3.0,200.0,3.0,15.0,,40.0,,,,,,34.0,,,,,,,7.295999999999999,Ms→Mw,4211.0,1,5.7,89.0,-15.75,-72.75,False
4213,1960,"PERU:  LIMA,NAZCA,ICA,HUANCAVELIC,PALPA,HUAITARA",-15.008,-74.867,1.0,True,PERU,160,,,,,65.0,,1.0,,1.0,1.0,1.0,15.0,,,,1.0,,1.0,9.0,,30.0,,,,,,21.6,,,,,,,7.1,Mw,,0,,,,,False
4214,1960,ALGERIA:  MELOUZA,36.0,4.1,2.0,True,ALGERIA,15,,1.0,,1.0,33.0,47.0,,47.0,2.0,,2.0,21.0,,,88.0,2.0,88.0,2.0,8.0,,13.0,,,,,,31.0,,,,,,,5.821999999999999,Ms→Mw,,0,,,,,False
4216,1960,MOROCCO:  AGADIR,30.45,-9.62,4.0,True,MOROCCO,15,10.0,4.0,1897.0,4.0,33.0,13100.0,3.0,13100.0,4.0,3.0,2.0,29.0,,,25000.0,4.0,25000.0,4.0,23.0,,40.0,,,,,,14.0,120.0,,,,,120.0,6.023,Ms→Mw,4216.0,1,,77.0,30.5,-9.5,False
4220,1960,IRAN:  LAR,27.814,54.497,3.0,True,IRAN,140,7.0,3.0,,3.0,15.0,420.0,,420.0,3.0,,4.0,24.0,,,3000.0,4.0,3000.0,4.0,12.0,,14.0,,,,,,31.7,20.0,,,,,20.0,5.9,Mw,,0,,,,,False
4223,1960,CHILE:  CENTRAL,-37.872,-73.243,1.0,True,CHILE,160,,1.0,1901.0,1.0,35.0,,,,1.0,,5.0,21.0,,,,3.0,,3.0,10.0,,2.0,,,,,,50.0,,,,,,,8.2,Mw,4223.0,1,0.5,89.0,-37.872,-73.243,False
4227,1960,"CHILE:  PUERTO MONTT, VALDIVIA",-38.143,-73.407,4.0,True,CHILE,160,12.0,4.0,1902.0,4.0,33.0,2000.0,4.0,2226.0,4.0,4.0,5.0,22.0,4153.0,,3000.0,4.0,3000.0,4.0,19.0,,11.0,58622.0,,58622.0,,,17.0,1000.0,,,,,1000.0,9.5,Mw,4227.0,1,25.0,89.0,-38.143,-73.407,False
4232,1960,CONGO:  LAKE TANGANYIKA,-3.6,29.0,2.0,True,CONGO,10,,1.0,,1.0,28.0,24.0,,24.0,2.0,,9.0,22.0,,3.0,,,,,9.0,3.0,5.0,,,,,,32.5,,,,,,,6.491999999999999,Ms→Mw,,0,,,,,False
4234,1960,PERU,-6.8,-80.7,,True,PERU,160,,,1907.0,2.0,93.0,,,66.0,1.0,,11.0,20.0,,,,,2.0,1.0,22.0,,1.0,,,,,,56.4,,,,,,0.55,6.7,None,4234.0,1,9.0,89.0,-6.8,-80.7,False
4237,1961,INDIA,24.9,93.34,,True,INDIA,60,,,,,141.0,,,,,,2.0,4.0,,,,,,,8.0,,51.0,,,,,,0.0,,,,,,,7.6,None,,0,,,,,False
4238,1961,JAPAN:  MIYAZAKI,31.6,131.8,2.0,True,JAPAN,30,,1.0,1914.0,1.0,74.0,2.0,3.0,2.0,2.0,3.0,2.0,26.0,,3.0,7.0,1.0,7.0,1.0,18.0,,10.0,170.0,170.0,170.0,,,48.7,,,,,,,6.961,Ms→Mw,4238.0,1,0.65,85.0,31.6,131.8,False
4239,1961,KERMADEC ISLANDS,-28.3,-175.7,,True,KERMADEC ISLANDS (NEW ZEALAND),170,,,,,40.0,,,,,,3.0,7.0,,,,,,,10.0,,10.0,,,,,,0.0,,,,,,,7.5,None,,0,,,,,False
4240,1961,INDONESIA:  FLORES:  ENDEH,-8.2,122.0,2.0,True,INDONESIA,60,8.0,1.0,,1.0,74.0,2.0,,2.0,2.0,,3.0,16.0,,,6.0,1.0,6.0,1.0,13.0,,45.0,,,,,,35.6,,,,,,,6.425000000000001,Ms→Mw,,0,,,,,False
4243,1961,ETHIOPIA:  KARAKORE,10.466,39.717,3.0,True,ETHIOPIA,10,9.0,3.0,,3.0,33.0,160.0,3.0,160.0,3.0,3.0,6.0,1.0,,,,3.0,,3.0,23.0,,29.0,,,,,,25.6,,,,,,,6.2,Mw,,0,,,,,False
4246,1961,"IRAN:  DEHKUYEH,KHANEH,LAR,SHAGHEB,NOKHRIZ,BIGHU",27.861,54.528,3.0,True,IRAN,140,8.0,2.0,,2.0,15.0,60.0,3.0,61.0,3.0,3.0,6.0,11.0,,,,3.0,,3.0,5.0,,10.0,500.0,,500.0,,,28.1,,,,,,,6.4,Mw,,0,,,,,False
4249,1961,PERU,-10.5,-70.7,,True,PERU,160,,,,,629.0,,,,,,8.0,31.0,,,,,,,1.0,,57.0,,,,,,0.0,,,,,,,7.5,None,,0,,,,,False
4250,1961,SOUTH SANDWICH ISLANDS,-59.5,-27.3,,True,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,70,,,,,131.0,,,,,,9.0,1.0,,,,,,,0.0,,9.0,,,,,,0.0,,,,,,,7.5,None,,0,,,,,False
4252,1961,SOUTH SANDWICH ISLANDS,-56.26,-27.283,,True,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,70,,,,,105.0,,,,,,9.0,8.0,,,,,,,11.0,,26.0,,,,,,32.3,,,,,,,7.229000000000001,Ms→Mw,,0,,,,,False
4254,1961,COLOMBIA: EJE CAFETERO,4.49,-75.51,2.0,True,COLOMBIA,160,8.0,1.0,,1.0,163.0,23.0,1.0,23.0,2.0,1.0,12.0,20.0,,2.0,100.0,2.0,100.0,2.0,13.0,2.0,25.0,,,,,,0.0,,,,,,,6.6259999999999994,Ms→Mw,,0,,,,,False
4255,1962,BALKANS NW:  CROATIA,43.3,17.1,2.0,True,CROATIA,130,8.0,1.0,,1.0,33.0,4.0,,4.0,2.0,,1.0,7.0,,,,,,,10.0,,3.0,,,,,,0.0,,,,,,,6.045000000000001,ML,,0,,,,,False
4256,1962,BALKANS NW:  CROATIA,43.3,17.1,2.0,True,CROATIA,130,9.0,1.0,5631.0,1.0,33.0,1.0,4.0,1.0,2.0,4.0,1.0,11.0,,,,,,,5.0,,5.0,2290.0,,2290.0,,,0.0,,,,,,,6.215,ML,4256.0,1,0.04,50.0,43.3,17.1,False
4257,1962,CHILE:  CENTRAL,-37.8,-72.5,2.0,True,CHILE,160,,,,,45.0,,,,,,2.0,14.0,,,,,,,6.0,,36.0,,,,,,0.0,,,,,,,7.3,None,,0,,,,,False
4259,1962,ALBANIA,40.9,19.5,2.0,True,ALBANIA,130,,1.0,,,33.0,15.0,,,,,3.0,18.0,,,,,,,15.0,,30.0,,,,,,0.0,,,,,,,6.0,None,,0,,,,,False
4260,1962,IRAN:  MUSSAVIEH,33.32,58.845,2.0,True,IRAN,140,7.0,1.0,,1.0,15.0,20.0,,20.0,2.0,,4.0,1.0,,,,,,,0.0,,45.0,,,,,,13.4,,,,,,,5.8,Mw,,0,,,,,False
4261,1962,"PERU:  CASMA,HUARAZ,QUIRUVILCA,TRUJILLO",-9.941,-78.933,2.0,True,PERU,160,,1.0,,1.0,49.0,4.0,,4.0,2.0,,4.0,18.0,,,,,,,19.0,,14.0,,,,,,41.4,,,,,,,6.4,Mw,,0,,,,,False
4264,1962,JAPAN:  HONSHU:  SENDAI,38.8,140.9,2.0,True,JAPAN,30,,1.0,,1.0,104.0,1.0,,1.0,2.0,,4.0,30.0,,,,3.0,,3.0,2.0,,26.0,,,,,,30.0,,,,,,,6.6259999999999994,Ms→Mw,,0,,,,,False
4265,1962,MEXICO:  S,17.2,-99.6,2.0,True,MEXICO,150,8.0,1.0,1931.0,1.0,40.0,4.0,2.0,4.0,2.0,2.0,5.0,11.0,,,,3.0,,3.0,14.0,,11.0,,,,,,54.1,,,,,,,6.76,Ms→Mw,4265.0,1,0.81,88.0,17.2,-99.6,False
4266,1962,MEXICO:  S,17.2,-99.5,2.0,True,MEXICO,150,,1.0,1932.0,1.0,33.0,3.0,2.0,3.0,2.0,2.0,5.0,19.0,,,16.0,1.0,16.0,1.0,14.0,,58.0,,,,,,15.0,,,,,,,6.894,Ms→Mw,4266.0,1,0.34,88.0,17.2,-99.5,False
4268,1962,PANAMA,7.5,-82.0,2.0,True,PANAMA,100,,,,,21.0,,,,,,7.0,26.0,,,,,,,8.0,,14.0,,,,,,41.8,,,,,,,7.0280000000000005,Ms→Mw,,0,,,,,False
4270,1962,"COLOMBIA:  MISTRATO, MANIZALES",5.2,-76.4,3.0,True,COLOMBIA,160,,1.0,,1.0,69.0,47.0,,47.0,3.0,,7.0,30.0,,3.0,300.0,3.0,300.0,3.0,20.0,3.0,18.0,,,,,,52.3,,,,,,,6.6259999999999994,Ms→Mw,,0,,,,,False
4272,1962,ITALY:  S,41.4,15.5,2.0,True,ITALY,130,,1.0,,,34.0,16.0,,,,,8.0,21.0,,,,,,,18.0,,19.0,,,,,,0.0,,,,,,,6.1,None,,0,,,,,False
4273,1962,GREECE:  S,37.8,22.9,2.0,True,GREECE,130,,1.0,,,100.0,1.0,,,,,8.0,28.0,,,,,,,10.0,,59.0,,,,,,0.0,,,,,,,6.8,None,,0,,,,,False
4274,1962,UTAH,41.8,-111.8,2.0,True,USA,150,7.0,,,,37.0,,,,2.0,,8.0,30.0,,2.0,,,,,13.0,2.0,35.0,,,,,UT,28.7,1.0,,,,,1.0,5.8,None,,0,,,,,False
4276,1962,IRAN:   BUYIN-ZARA,35.63,49.87,4.0,True,IRAN,140,9.0,4.0,,4.0,27.0,12225.0,4.0,12225.0,4.0,4.0,9.0,1.0,,,2776.0,4.0,2776.0,4.0,19.0,,20.0,21310.0,,21310.0,,,39.9,30.0,,,,,30.0,6.894,Ms→Mw,,0,,,,,False
4279,1962,"IRAN:  TORBAT HEYDARIYEH, AKHMEDABAD",35.1,58.7,2.0,True,IRAN,140,8.0,1.0,,1.0,8.0,6.0,,6.0,2.0,,10.0,5.0,,,,,,,20.0,,2.0,,,,,,0.0,,,,,,,5.42,Ms→Mw,,0,,,,,False
4281,1962,"IRAN:  GAHKOM,GOLRUIYEH,PATKUIYEH,LAIGAZAN,GANJ",28.1,55.6,2.0,True,IRAN,140,,,,,40.0,,,,,,11.0,6.0,,,,,,,0.0,,9.0,,,,,,0.0,,,,,,,5.5,None,,0,,,,,False
4283,1963,"TAIWAN:  TAIPEI, HSINCH",24.5,122.1,2.0,True,TAIWAN,30,,1.0,1940.0,1.0,47.0,15.0,2.0,15.0,2.0,2.0,2.0,13.0,,,18.0,1.0,18.0,1.0,8.0,,50.0,,,,,,4.5,,,,,,,6.961,Ms→Mw,4283.0,1,0.2,84.0,24.4,122.1,False
4285,1963,LIBYA:  BARCE (AL MARJ),32.6,21.0,2.0,True,LIBYA,15,9.0,3.0,,3.0,5.0,300.0,3.0,300.0,2.0,3.0,2.0,21.0,,3.0,375.0,3.0,375.0,3.0,17.0,,14.0,,,,,,31.0,5.0,,,,,5.0,5.688000000000001,Ms→Mw,,0,,,,,False
4287,1963,IRAN:  KARKHANEH,34.438,47.882,3.0,True,IRAN,140,7.0,,,,20.0,,4.0,,3.0,4.0,3.0,24.0,,,,,,,12.0,,44.0,5000.0,,5000.0,,,5.5,,,,,,,6.0,Mw,,0,,,,,False
4290,1963,IRAN:  HENDOJAN,37.0,57.9,2.0,True,IRAN,140,6.0,1.0,,1.0,33.0,4.0,2.0,4.0,2.0,2.0,3.0,31.0,,,70.0,2.0,70.0,2.0,2.0,,27.0,100.0,,100.0,,,6.5,,,,,,,5.42,Ms→Mw,,0,,,,,False
4291,1963,NICARAGUA:  LEON,12.2,-86.9,1.0,True,NICARAGUA,100,,,,,50.0,,,,1.0,,5.0,9.0,,,,,,,15.0,,3.0,,,,,,43.8,,,,,,,5.755,Ms→Mw,,0,,,,,False
4292,1963,INDONESIA:  BALI,-8.2,115.6,,True,INDONESIA,60,,,,,65.0,,,,,,5.0,18.0,353.0,,,,,,12.0,,20.0,,,,,,34.4,,,,,,,6.09,Ms→Mw,,0,,,,,False
4293,1963,BALKANS NW:  SLOVENIA:  LJUBLJANA,46.1,14.8,2.0,True,SLOVENIA,130,7.0,,,,13.0,,,,,,5.0,19.0,,,,,,,10.0,,,,,,,,,,,,,,,4.9,None,,0,,,,,False
4297,1963,BALKANS NW:  MACEDONIA:  SKOPJE,42.1,21.3,4.0,True,MACEDONIA,130,10.0,4.0,,4.0,5.0,1070.0,4.0,1070.0,4.0,4.0,7.0,26.0,,,3300.0,4.0,3300.0,4.0,4.0,,17.0,,,,,,12.0,1000.0,,,,,1000.0,6.09,Ms→Mw,,0,,,,,False
4299,1963,"IRAN:  GAHKOM,LAIGAZAN,PATKUIYEH,GOLRUIYEH,GANJ",27.8,55.6,2.0,True,IRAN,140,,1.0,,1.0,37.0,5.0,3.0,5.0,2.0,3.0,7.0,29.0,,,8.0,1.0,8.0,1.0,6.0,,10.0,350.0,,350.0,,,0.0,,,,,,,5.2,None,,0,,,,,False
4300,1963,PERU:  S,-13.8,-69.3,1.0,True,PERU,160,,,,,543.0,,,,,,8.0,15.0,,,,,,,17.0,,25.0,,,,,,0.0,,,,,,,7.7,None,,0,,,,,False
4302,1963,INDIA:  KASHMIR:  SW,33.9,74.8,2.0,True,INDIA,60,,2.0,,,25.0,80.0,,,,,9.0,2.0,,,,,,,1.0,,34.0,,,,,,0.0,,,,,,,5.3,None,,0,,,,,False
4303,1963,"PERU:  HUAYLLACAYAN,CAJACAY,MALYAS,MALVAS,HUARAZ",-10.385,-78.022,2.0,True,PERU,160,,1.0,1945.0,1.0,75.0,1.0,,1.0,2.0,,9.0,24.0,,,,,,,16.0,2.0,30.0,,,,,,16.0,,,,,,,6.76,Ms→Mw,4303.0,1,,89.0,-10.385,-78.022,False
4304,1963,RUSSIA:  KURIL ISLANDS,44.77,149.798,1.0,True,RUSSIA,50,9.0,,1947.0,,13.0,,,,1.0,,10.0,13.0,,,,,,,5.0,,17.0,,,,,,53.4,,,,,,,8.5,Mw,4304.0,1,4.5,86.0,44.772,149.798,False
4305,1963,RUSSIA:  KURIL ISLANDS,44.772,150.563,,True,RUSSIA,50,,,1948.0,,28.0,,,,,,10.0,20.0,,,,,,,0.0,,53.0,,,,,,10.9,,,,,,,7.9,Mw,4305.0,1,15.0,86.0,44.772,150.563,False
4306,1963,INDONESIA:  BANDA SEA,-6.86,129.58,1.0,True,INDONESIA,170,,,,,100.0,,,,1.0,,11.0,4.0,,,,,,,1.0,,17.0,,,,,,11.4,,,,,,,7.631,Ms→Mw,,0,,,,,False
4307,1964,INDONESIA:  SULAWESI:  PINRANG,-3.7,119.4,2.0,True,INDONESIA,170,,1.0,,1.0,90.0,8.0,,8.0,2.0,,1.0,8.0,,,27.0,1.0,27.0,1.0,22.0,,30.0,,,,,,49.7,,,,,,,5.554,Ms→Mw,,0,,,,,False
4308,1964,TAIWAN:  TAINAN,23.2,120.6,3.0,True,TAIWAN,30,,3.0,,3.0,33.0,107.0,4.0,107.0,3.0,4.0,1.0,18.0,,,479.0,3.0,479.0,3.0,12.0,,4.0,3000.0,,3000.0,,,41.0,,,,,,,6.76,Ms→Mw,,0,,,,,False
4310,1964,AZORES,38.8,-28.4,3.0,True,AZORES (PORTUGAL),70,,,,,33.0,,,,3.0,,2.0,18.0,,,,,,,12.0,,19.0,,,,,,0.0,,,,,,,4.6,None,,0,,,,,False
4311,1964,ALASKA,60.908,-147.339,4.0,True,USA,150,10.0,1.0,1954.0,3.0,25.0,15.0,3.0,139.0,4.0,3.0,3.0,28.0,,,,,,,3.0,,36.0,,,,,AK,16.0,284.0,,,,,400.0,9.2,Mw,4311.0,1,51.8,87.0,60.908,-147.339,False
4313,1964,INDONESIA:  BANDA ACEH,5.9,95.7,3.0,True,INDONESIA,60,7.0,,1956.0,,130.0,,3.0,,3.0,3.0,4.0,2.0,,,,,,,1.0,,11.0,,,,,,51.0,,,,,,,6.76,Ms→Mw,4313.0,1,,60.0,5.8,95.4,True
4316,1964,BALKANS NW:  CROATIA,45.3,18.1,3.0,True,CROATIA,130,8.0,1.0,,,32.0,3.0,,,,,4.0,13.0,,,,,,,8.0,,30.0,,,,,,0.0,,,,,,,6.0,None,,0,,,,,False
4317,1964,TANZANIA,-4.0,34.9,3.0,True,TANZANIA,10,,1.0,,1.0,33.0,1.0,,1.0,3.0,,5.0,7.0,,,19.0,1.0,19.0,1.0,5.0,,45.0,,,,,,0.0,,,,,,,6.0,None,,0,,,,,False
4322,1964,JAPAN:  HONSHU:  W COAST,38.65,139.2,4.0,True,JAPAN,30,5.0,1.0,1959.0,1.0,40.0,36.0,4.0,36.0,4.0,4.0,6.0,16.0,,4.0,385.0,3.0,385.0,3.0,4.0,4.0,1.0,3534.0,11000.0,3534.0,11000.0,,44.3,80.0,,,,,80.0,7.5,None,4322.0,1,5.8,85.0,38.65,139.2,False
4326,1964,MEXICO:  GUERRERO,18.136,-100.605,3.0,True,MEXICO,150,,2.0,,2.0,93.0,78.0,3.0,78.0,3.0,3.0,7.0,6.0,,,50.0,1.0,50.0,1.0,7.0,,22.0,,,,,,13.2,,,,,,,7.3,Mw,,0,,,,,False
4329,1964,"TURKEY:  MANYAS, BURSA, BALIKESIR",40.203,28.206,2.0,True,TURKEY,140,10.0,1.0,,1.0,27.0,19.0,,19.0,2.0,,10.0,6.0,,,,,,,14.0,,31.0,,,,,,25.4,5.0,,,,,5.0,6.8,Mw,,0,,,,,False
4331,1964,PAPUA NEW GUINEA:  NEW BRITAIN,-5.7,150.7,1.0,True,PAPUA NEW GUINEA,170,8.0,,1961.0,,45.0,,,,1.0,,11.0,17.0,,,,,,,8.0,,15.0,,,,,,39.3,,,,,,,7.161999999999999,Ms→Mw,4331.0,1,0.05,82.0,-5.7,150.7,False
